"","Sample","OTU","Genus","Abundance"
"149","1337_220_S220_L001","ASV00053","Colwellia",296
"150","1337_232_S232_L001","ASV00068","Glaciecola",294
"151","1337_238_S238_L001","ASV00002","Prochlorococcus MIT9313",291
"152","1337_224_S224_L001","ASV00048","Colwellia",285
"153","1337_234_S234_L001","ASV00074","Colwellia",284
"154","1337_237_S237_L001","ASV00002","Prochlorococcus MIT9313",276
"155","1337_230_S230_L001","ASV00036","Synechococcus CC9902",268
"156","1337_234_S234_L001","ASV00004","Synechococcus CC9902",267
"157","1337_237_S237_L001","ASV00186","Alteromonas",262
"158","1337_224_S224_L001","ASV00003","Clade Ia",260
"159","1337_220_S220_L001","ASV00048","Colwellia",258
"160","1337_224_S224_L001","ASV00012","Acinetobacter",258
"161","1337_230_S230_L001","ASV00068","Glaciecola",255
"162","1337_220_S220_L001","ASV00010","Shewanella",250
"163","1337_224_S224_L001","ASV00002","Prochlorococcus MIT9313",236
"164","1337_227_S227_L001","ASV00001","Clade Ia",236
"165","1337_220_S220_L001","ASV00008","Shewanella",226
"166","1337_227_S227_L001","ASV00025","Pseudophaeobacter",220
"167","1337_228_S228_L001","ASV00001","Clade Ia",216
"168","1337_235_S235_L001","ASV00004","Synechococcus CC9902",207
"169","1337_220_S220_L001","ASV00186","Alteromonas",205
"170","1337_237_S237_L001","ASV00003","Clade Ia",191
"171","1337_221_S221_L001","ASV00186","Alteromonas",181
"172","1337_232_S232_L001","ASV00031","Alteromonas",179
"173","1337_234_S234_L001","ASV00008","Shewanella",177
"174","1337_224_S224_L001","ASV00004","Synechococcus CC9902",175
"175","1337_224_S224_L001","ASV00053","Colwellia",166
"176","1337_232_S232_L001","ASV00014","Alteromonas",158
"177","1337_239_S239_L001","ASV00043","Pseudoalteromonas",156
"178","1337_220_S220_L001","ASV00012","Acinetobacter",152
"179","1337_225_S225_L001","ASV00040","Marinomonas",152
"180","1337_220_S220_L001","ASV00009","Glaciecola",149
"181","1337_237_S237_L001","ASV00068","Glaciecola",145
"182","1337_237_S237_L001","ASV00316","Neptuniibacter",145
"183","1337_238_S238_L001","ASV00003","Clade Ia",145
"184","1337_238_S238_L001","ASV00061",NA,144
"185","1337_228_S228_L001","ASV00036","Synechococcus CC9902",142
"186","1337_220_S220_L001","ASV00040","Marinomonas",133
"187","1337_235_S235_L001","ASV00040","Marinomonas",131
"188","1337_229_S229_L001","ASV00064","Vibrio",130
"189","1337_234_S234_L001","ASV00010","Shewanella",129
"190","1337_225_S225_L001","ASV00008","Shewanella",121
"191","1337_239_S239_L001","ASV00009","Glaciecola",111
"192","1337_225_S225_L001","ASV00010","Shewanella",109
"193","1337_227_S227_L001","ASV00003","Clade Ia",107
"194","1337_228_S228_L001","ASV00031","Alteromonas",107
"195","1337_234_S234_L001","ASV00012","Acinetobacter",104
"196","1337_225_S225_L001","ASV00012","Acinetobacter",99
"197","1337_227_S227_L001","ASV00061",NA,99
"198","1337_230_S230_L001","ASV00186","Alteromonas",98
"199","1337_239_S239_L001","ASV00040","Marinomonas",95
"200","1337_240_S240_L001","ASV00004","Synechococcus CC9902",93
"201","1337_234_S234_L001","ASV00068","Glaciecola",91
"202","1337_230_S230_L001","ASV00074","Colwellia",90
"203","1337_237_S237_L001","ASV00061",NA,90
"204","1337_221_S221_L001","ASV00040","Marinomonas",87
"205","1337_222_S222_L001","ASV00031","Alteromonas",86
"206","1337_228_S228_L001","ASV00014","Alteromonas",86
"207","1337_230_S230_L001","ASV00043","Pseudoalteromonas",86
"208","1337_220_S220_L001","ASV00074","Colwellia",84
"209","1337_228_S228_L001","ASV00003","Clade Ia",84
"210","1337_222_S222_L001","ASV00064","Vibrio",83
"211","1337_227_S227_L001","ASV00036","Synechococcus CC9902",80
"212","1337_237_S237_L001","ASV00064","Vibrio",80
"213","1337_238_S238_L001","ASV00074","Colwellia",80
"214","1337_228_S228_L001","ASV00008","Shewanella",78
"215","1337_240_S240_L001","ASV00001","Clade Ia",77
"216","1337_235_S235_L001","ASV00043","Pseudoalteromonas",75
"217","1337_221_S221_L001","ASV00008","Shewanella",74
"218","1337_224_S224_L001","ASV00040","Marinomonas",74
"219","1337_233_S233_L001","ASV00001","Clade Ia",73
"220","1337_226_S226_L001","ASV00036","Synechococcus CC9902",71
"221","1337_225_S225_L001","ASV00002","Prochlorococcus MIT9313",69
"222","1337_223_S223_L001","ASV00029","Oceaniserpentilla",62
"223","1337_232_S232_L001","ASV00001","Clade Ia",60
"224","1337_221_S221_L001","ASV00010","Shewanella",59
"225","1337_226_S226_L001","ASV00001","Clade Ia",59
"226","1337_233_S233_L001","ASV00064","Vibrio",59
"227","1337_238_S238_L001","ASV00186","Alteromonas",59
"228","1337_226_S226_L001","ASV00053","Colwellia",57
"229","1337_227_S227_L001","ASV00004","Synechococcus CC9902",56
"230","1337_234_S234_L001","ASV00002","Prochlorococcus MIT9313",56
"231","1337_222_S222_L001","ASV00053","Colwellia",55
"232","1337_226_S226_L001","ASV00064","Vibrio",55
"233","1337_228_S228_L001","ASV00012","Acinetobacter",53
"234","1337_237_S237_L001","ASV00029","Oceaniserpentilla",53
"235","1337_226_S226_L001","ASV00004","Synechococcus CC9902",52
"236","1337_228_S228_L001","ASV00010","Shewanella",52
"237","1337_235_S235_L001","ASV00002","Prochlorococcus MIT9313",52
"238","1337_232_S232_L001","ASV00013","Alteromonas",51
"239","1337_235_S235_L001","ASV00068","Glaciecola",51
"240","1337_242_S242_L001","ASV00061",NA,51
"241","1337_226_S226_L001","ASV00003","Clade Ia",50
"242","1337_221_S221_L001","ASV00074","Colwellia",49
"243","1337_232_S232_L001","ASV00025","Pseudophaeobacter",47
"244","1337_233_S233_L001","ASV00025","Pseudophaeobacter",47
"245","1337_240_S240_L001","ASV00009","Glaciecola",47
"246","1337_242_S242_L001","ASV00068","Glaciecola",46
"247","1337_222_S222_L001","ASV00048","Colwellia",45
"248","1337_242_S242_L001","ASV00002","Prochlorococcus MIT9313",45
"249","1337_225_S225_L001","ASV00043","Pseudoalteromonas",44
"250","1337_237_S237_L001","ASV00036","Synechococcus CC9902",44
"251","1337_242_S242_L001","ASV00001","Clade Ia",44
"252","1337_227_S227_L001","ASV00002","Prochlorococcus MIT9313",42
"253","1337_233_S233_L001","ASV00036","Synechococcus CC9902",42
"254","1337_220_S220_L001","ASV00043","Pseudoalteromonas",41
"255","1337_224_S224_L001","ASV00064","Vibrio",41
"256","1337_235_S235_L001","ASV00036","Synechococcus CC9902",40
"257","1337_238_S238_L001","ASV00036","Synechococcus CC9902",40
"258","1337_223_S223_L001","ASV00061",NA,39
"259","1337_228_S228_L001","ASV00004","Synechococcus CC9902",39
"260","1337_238_S238_L001","ASV00064","Vibrio",39
"261","1337_239_S239_L001","ASV00048","Colwellia",39
"262","1337_220_S220_L001","ASV00068","Glaciecola",38
"263","1337_225_S225_L001","ASV00036","Synechococcus CC9902",38
"264","1337_239_S239_L001","ASV00001","Clade Ia",38
"265","1337_242_S242_L001","ASV00004","Synechococcus CC9902",36
"266","1337_221_S221_L001","ASV00012","Acinetobacter",35
"267","1337_233_S233_L001","ASV00061",NA,35
"268","1337_224_S224_L001","ASV00043","Pseudoalteromonas",34
"269","1337_227_S227_L001","ASV00064","Vibrio",34
"270","1337_224_S224_L001","ASV00036","Synechococcus CC9902",32
"271","1337_232_S232_L001","ASV00036","Synechococcus CC9902",32
"272","1337_239_S239_L001","ASV00025","Pseudophaeobacter",32
"273","1337_239_S239_L001","ASV00053","Colwellia",32
"274","1337_240_S240_L001","ASV00186","Alteromonas",32
"275","1337_242_S242_L001","ASV00186","Alteromonas",32
"276","1337_228_S228_L001","ASV00013","Alteromonas",31
"277","1337_220_S220_L001","ASV00316","Neptuniibacter",30
"278","1337_225_S225_L001","ASV00009","Glaciecola",30
"279","1337_226_S226_L001","ASV00025","Pseudophaeobacter",28
"280","1337_232_S232_L001","ASV00074","Colwellia",28
"281","1337_232_S232_L001","ASV00029","Oceaniserpentilla",27
"282","1337_230_S230_L001","ASV00008","Shewanella",26
"283","1337_222_S222_L001","ASV00002","Prochlorococcus MIT9313",25
"284","1337_226_S226_L001","ASV00048","Colwellia",25
"285","1337_242_S242_L001","ASV00010","Shewanella",25
"286","1337_242_S242_L001","ASV00036","Synechococcus CC9902",25
"287","1337_224_S224_L001","ASV00013","Alteromonas",24
"288","1337_234_S234_L001","ASV00013","Alteromonas",23
"289","1337_234_S234_L001","ASV00036","Synechococcus CC9902",23
"290","1337_234_S234_L001","ASV00064","Vibrio",23
"291","1337_221_S221_L001","ASV00043","Pseudoalteromonas",22
"292","1337_230_S230_L001","ASV00012","Acinetobacter",22
"293","1337_232_S232_L001","ASV00003","Clade Ia",22
"294","1337_235_S235_L001","ASV00064","Vibrio",22
"295","1337_239_S239_L001","ASV00074","Colwellia",22
"296","1337_223_S223_L001","ASV00064","Vibrio",21
"297","1337_228_S228_L001","ASV00476","Oleibacter",21
"298","1337_229_S229_L001","ASV00002","Prochlorococcus MIT9313",21
"299","1337_237_S237_L001","ASV00008","Shewanella",21
"300","1337_242_S242_L001","ASV00012","Acinetobacter",21
"301","1337_225_S225_L001","ASV00064","Vibrio",20
"302","1337_239_S239_L001","ASV00004","Synechococcus CC9902",20
"303","1337_240_S240_L001","ASV00029","Oceaniserpentilla",19
"304","1337_242_S242_L001","ASV00003","Clade Ia",19
"305","1337_242_S242_L001","ASV00029","Oceaniserpentilla",19
"306","1337_240_S240_L001","ASV00013","Alteromonas",18
"307","1337_240_S240_L001","ASV00061",NA,18
"308","1337_229_S229_L001","ASV00053","Colwellia",17
"309","1337_227_S227_L001","ASV00043","Pseudoalteromonas",15
"310","1337_233_S233_L001","ASV00029","Oceaniserpentilla",13
"311","1337_233_S233_L001","ASV00048","Colwellia",13
"312","1337_222_S222_L001","ASV00025","Pseudophaeobacter",12
"313","1337_232_S232_L001","ASV00007","Limosilactobacillus",11
"314","1337_225_S225_L001","ASV00186","Alteromonas",10
"315","1337_237_S237_L001","ASV00013","Alteromonas",10
"316","1337_220_S220_L001","ASV00061",NA,9
"317","1337_220_S220_L001","ASV00064","Vibrio",9
"318","1337_233_S233_L001","ASV00003","Clade Ia",9
"319","1337_238_S238_L001","ASV00008","Shewanella",9
"320","1337_221_S221_L001","ASV00064","Vibrio",8
"321","1337_232_S232_L001","ASV00016","Escherichia-Shigella",8
"322","1337_240_S240_L001","ASV00010","Shewanella",8
"323","1337_230_S230_L001","ASV00064","Vibrio",7
"324","1337_237_S237_L001","ASV00031","Alteromonas",7
"325","1337_238_S238_L001","ASV00029","Oceaniserpentilla",7
"326","1337_223_S223_L001","ASV00043","Pseudoalteromonas",6
"327","1337_235_S235_L001","ASV00013","Alteromonas",6
"328","1337_237_S237_L001","ASV00012","Acinetobacter",6
"329","1337_224_S224_L001","ASV00014","Alteromonas",5
"330","1337_229_S229_L001","ASV00040","Marinomonas",5
"331","1337_231_S231_L001","ASV00002","Prochlorococcus MIT9313",5
"332","1337_240_S240_L001","ASV00014","Alteromonas",5
"333","1337_234_S234_L001","ASV00014","Alteromonas",4
"334","1337_235_S235_L001","ASV00014","Alteromonas",3
"335","1337_235_S235_L001","ASV00031","Alteromonas",3
"336","1337_237_S237_L001","ASV00014","Alteromonas",3
"337","1337_220_S220_L001","ASV00007","Limosilactobacillus",0
"338","1337_220_S220_L001","ASV00013","Alteromonas",0
"339","1337_220_S220_L001","ASV00014","Alteromonas",0
"340","1337_220_S220_L001","ASV00015","Salmonella",0
"341","1337_220_S220_L001","ASV00016","Escherichia-Shigella",0
"342","1337_220_S220_L001","ASV00031","Alteromonas",0
"343","1337_220_S220_L001","ASV00476","Oleibacter",0
"344","1337_221_S221_L001","ASV00007","Limosilactobacillus",0
"345","1337_221_S221_L001","ASV00013","Alteromonas",0
"346","1337_221_S221_L001","ASV00014","Alteromonas",0
"347","1337_221_S221_L001","ASV00015","Salmonella",0
"348","1337_221_S221_L001","ASV00016","Escherichia-Shigella",0
"349","1337_221_S221_L001","ASV00031","Alteromonas",0
"350","1337_221_S221_L001","ASV00061",NA,0
