"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ASV00044",132.486170993004,1.26160300066648,1.63487695864168,0.771680702940893,0.440303562635544,0.773688545010956
"ASV00045",0,0,0,0,1,NA
"ASV00047",207.222540089751,5.48171932333519,1.85919893351894,2.94843075934852,0.0031939167864995,0.0448479148770972
"ASV00048",793.384008002751,-0.857294045532636,2.3217901206857,-0.369238389764296,0.711950043533947,0.922477141362393
"ASV00049",917.070678023111,-1.27522317893789,2.00666093772095,-0.635495092851222,0.525105566153107,0.847739099242622
"ASV00050",95.102792818329,1.49829301766318,2.59549531578011,0.577266700715598,0.563759304716723,0.866877095395174
"ASV00051",104.501196343583,1.46274482582837,2.28083384558052,0.641320203425897,0.52131466550381,0.847739099242622
"ASV00052",32.0692770575984,6.54576916092574,2.49522150412413,2.62332187747934,0.00870769637590048,0.092015891722459
"ASV00053",716.970428638793,-0.458224382927833,2.30969976843139,-0.198391318729287,0.842738909108816,0.945068192646564
"ASV00056",52.7406871316331,1.22298186320999,2.12396928334183,0.575800164720729,0.564750262190396,0.866877095395174
"ASV00057",7.92371273151168,0.387445584619708,3.65454948039251,0.106017331739095,NA,NA
"ASV00058",0.832744849149946,2.74056776540472,3.74895837637744,0.731021123806899,0.46476625043691,NA
"ASV00059",27.3880091480317,0.288772267888824,2.85013919829528,0.101318654212238,0.919297508472748,0.977635474004398
"ASV00060",0,0,0,0,1,NA
"ASV00061",232.579068659389,1.50915821709556,2.67198665186562,0.564807543496462,0.572204675570097,0.866877095395174
"ASV00062",8.7566112382864,5.06981811691981,2.35832274617524,2.14975584878792,0.0315745322328366,0.204463238064645
"ASV00063",7.11787644766504,3.69467566210455,3.38353672604484,1.09195671903447,0.274852125405666,0.630782936035353
"ASV00064",149.509749543289,-1.722093809969,1.65243267567476,-1.04215671556228,0.2973390271992,0.649887657615842
"ASV00065",54.5911934385984,3.15720653134116,1.73407825085758,1.82068284968096,0.0686550806707392,0.321343919250543
"ASV00068",209.968234042601,-2.501321293735,2.81354710517114,-0.889027693596355,NA,NA
"ASV00069",7.26803388609699,4.32340832708309,3.14376144042509,1.37523422467402,0.169058841000604,0.4869472599761
"ASV00071",12.7794840504976,1.44440575112307,3.11893742311809,0.4631082818196,0.643286753994412,0.892723242145205
"ASV00072",29.624871629586,1.22503636516683,2.64866004276772,0.462511740044498,0.643714385285712,0.892723242145205
"ASV00074",438.650062195621,-2.28060727824333,2.53515441079927,-0.899593045902208,0.368336859318131,0.71699306053651
"ASV00075",68.5612985868172,0.650542885123925,2.32213024106566,0.280149180962985,0.779363053767056,0.931366486239354
"ASV00076",0.780974620104186,-4.06493021223951,3.74570648073741,-1.08522390452742,0.277822499262877,NA
"ASV00077",136.471598267484,4.98085892377972,1.93324308805837,2.57642660384845,0.00998273966463803,0.0989465666759711
"ASV00079",516.430107952582,-0.727862739558657,2.52129136093894,-0.288686484567019,0.772821306310043,0.930442460892484
"ASV00081",64.1931451309413,2.34999143913096,2.52218164066189,0.931729658659422,0.351476254874661,0.700872768596217
"ASV00082",16.9521831487852,1.09000573307758,2.48245233358653,0.439084254843592,0.660600487395736,0.893614093159521
"ASV00083",10.9936928794001,4.80266861493662,3.18877987824725,1.50611481454043,0.132037702208007,0.454355429212749
"ASV00084",20.3825017952085,1.76964157658643,2.26323055374599,0.781909546801323,0.43426773403475,0.773688545010956
"ASV00091",107.073069470343,25.4630989119882,2.80019901879867,9.09331756101832,9.60621704503696e-20,3.23729514417745e-17
"ASV00092",15.5343169438604,2.00724627967729,2.41962525722293,0.829569072188088,0.406782469054669,0.753218088304524
"ASV00098",45.7400513498283,1.37187801779739,2.91039738931501,0.471371374518815,0.637375554143724,0.892723242145205
"ASV00102",25.216990006096,2.03156537252794,2.27721976171325,0.892125304146979,0.372325773275636,0.71699306053651
"ASV00108",1.59303098918873,2.32674875148627,3.66144418422031,0.635472953954574,0.525120000704951,NA
"ASV00109",0,0,0,0,1,NA
"ASV00110",58.9770460379586,2.20853645898775,2.52476617906405,0.874748908354942,0.381710542187087,0.722676700657574
"ASV00113",65.7244841050676,1.07690577293354,2.61169465576833,0.412339846296744,0.680090346732566,0.902324593893208
"ASV00114",25.1606618858889,1.71862589603973,2.45838644464609,0.699086955910686,0.484497689839397,0.807443203148204
"ASV00115",415.163937797718,-1.36817634169606,2.48120083833417,-0.551417007667396,0.581347844389642,0.866877095395174
"ASV00116",14.7529825784264,1.00108057853806,2.73595095401042,0.365898583478132,0.714440753399361,0.922477141362393
"ASV00119",3.96914101272303,3.59450561342697,3.1217052267025,1.15145580776821,0.249544765891235,NA
"ASV00120",25.7463384394137,0.787431826726927,3.54018433768635,0.222426786747931,NA,NA
"ASV00121",3.47722676460499,-0.442035988621731,3.19527898465637,-0.138340342343931,0.889971443432118,NA
"ASV00123",7.24305007178557,4.2897087640466,2.92285420930979,1.4676437676512,0.14220101267574,0.465490464677543
"ASV00124",0,0,0,0,1,NA
