"","Sample","OTU","Genus","Abundance"
"172","1337_220_S220_L001","ASV00040","Marinomonas",133
"173","1337_217_S217_L001","ASV00003","Clade Ia",130
"174","1337_217_S217_L001","ASV00048","Colwellia",128
"175","1337_225_S225_L001","ASV00008","Shewanella",121
"176","1337_216_S216_L001","ASV00010","Shewanella",120
"177","1337_239_S239_L001","ASV00009","Glaciecola",111
"178","1337_225_S225_L001","ASV00010","Shewanella",109
"179","1337_227_S227_L001","ASV00003","Clade Ia",107
"180","1337_214_S214_L001","ASV00068","Glaciecola",104
"181","1337_217_S217_L001","ASV00025","Pseudophaeobacter",104
"182","1337_225_S225_L001","ASV00012","Acinetobacter",99
"183","1337_227_S227_L001","ASV00061",NA,99
"184","1337_239_S239_L001","ASV00040","Marinomonas",95
"185","1337_240_S240_L001","ASV00004","Synechococcus CC9902",93
"186","1337_237_S237_L001","ASV00061",NA,90
"187","1337_214_S214_L001","ASV00040","Marinomonas",87
"188","1337_219_S219_L001","ASV00036","Synechococcus CC9902",87
"189","1337_221_S221_L001","ASV00040","Marinomonas",87
"190","1337_222_S222_L001","ASV00031","Alteromonas",86
"191","1337_216_S216_L001","ASV00036","Synechococcus CC9902",84
"192","1337_220_S220_L001","ASV00074","Colwellia",84
"193","1337_219_S219_L001","ASV00029","Oceaniserpentilla",80
"194","1337_227_S227_L001","ASV00036","Synechococcus CC9902",80
"195","1337_238_S238_L001","ASV00074","Colwellia",80
"196","1337_219_S219_L001","ASV00002","Prochlorococcus MIT9313",77
"197","1337_219_S219_L001","ASV00053","Colwellia",77
"198","1337_240_S240_L001","ASV00001","Clade Ia",77
"199","1337_221_S221_L001","ASV00008","Shewanella",74
"200","1337_224_S224_L001","ASV00040","Marinomonas",74
"201","1337_212_S212_L001","ASV00040","Marinomonas",73
"202","1337_213_S213_L001","ASV00008","Shewanella",71
"203","1337_226_S226_L001","ASV00036","Synechococcus CC9902",71
"204","1337_225_S225_L001","ASV00002","Prochlorococcus MIT9313",69
"205","1337_219_S219_L001","ASV00043","Pseudoalteromonas",64
"206","1337_223_S223_L001","ASV00029","Oceaniserpentilla",62
"207","1337_213_S213_L001","ASV00010","Shewanella",60
"208","1337_221_S221_L001","ASV00010","Shewanella",59
"209","1337_226_S226_L001","ASV00001","Clade Ia",59
"210","1337_217_S217_L001","ASV00053","Colwellia",57
"211","1337_226_S226_L001","ASV00053","Colwellia",57
"212","1337_227_S227_L001","ASV00004","Synechococcus CC9902",56
"213","1337_222_S222_L001","ASV00053","Colwellia",55
"214","1337_212_S212_L001","ASV00008","Shewanella",53
"215","1337_237_S237_L001","ASV00029","Oceaniserpentilla",53
"216","1337_226_S226_L001","ASV00004","Synechococcus CC9902",52
"217","1337_212_S212_L001","ASV00074","Colwellia",51
"218","1337_242_S242_L001","ASV00061",NA,51
"219","1337_226_S226_L001","ASV00003","Clade Ia",50
"220","1337_221_S221_L001","ASV00074","Colwellia",49
"221","1337_216_S216_L001","ASV00009","Glaciecola",47
"222","1337_240_S240_L001","ASV00009","Glaciecola",47
"223","1337_242_S242_L001","ASV00068","Glaciecola",46
"224","1337_222_S222_L001","ASV00048","Colwellia",45
"225","1337_242_S242_L001","ASV00002","Prochlorococcus MIT9313",45
"226","1337_217_S217_L001","ASV00036","Synechococcus CC9902",44
"227","1337_225_S225_L001","ASV00043","Pseudoalteromonas",44
"228","1337_237_S237_L001","ASV00036","Synechococcus CC9902",44
"229","1337_242_S242_L001","ASV00001","Clade Ia",44
"230","1337_227_S227_L001","ASV00002","Prochlorococcus MIT9313",42
"231","1337_214_S214_L001","ASV00008","Shewanella",41
"232","1337_217_S217_L001","ASV00029","Oceaniserpentilla",41
"233","1337_220_S220_L001","ASV00043","Pseudoalteromonas",41
"234","1337_238_S238_L001","ASV00036","Synechococcus CC9902",40
"235","1337_212_S212_L001","ASV00012","Acinetobacter",39
"236","1337_223_S223_L001","ASV00061",NA,39
"237","1337_239_S239_L001","ASV00048","Colwellia",39
"238","1337_214_S214_L001","ASV00043","Pseudoalteromonas",38
"239","1337_220_S220_L001","ASV00068","Glaciecola",38
"240","1337_225_S225_L001","ASV00036","Synechococcus CC9902",38
"241","1337_239_S239_L001","ASV00001","Clade Ia",38
"242","1337_212_S212_L001","ASV00010","Shewanella",37
